attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,class
29,27,621339,631486,24702,11156,21771,21109,2388,1362,7
16,30,101019,129845,59521,15057,13123,7356,4979,3268,7
20,34,49817,27686,15121,4066,6981,4400,2528,1397,7
53,60,9286,18996,16854,20176,25063,8012,2188,1155,7
60,63,28139,48073,29459,16196,11080,6092,2884,1214,7
56,47,38787,119712,6018,6452,10465,9221,2503,4356,7
48,51,1422595,57982,40085,82781,21024,11508,2815,2491,7
38,38,1445922,195537,25551,11608,25449,14656,1836,2068,7
51,37,25084,9274,5310,5381,5147,3902,2992,1511,7
60,57,168488,22575,15412,30303,10507,10381,1347,1598,7
83,51,28688,2599,8656,2118,4297,9557,1420,2261,7
77,74,8164,19252,42237,4435,3141,2449,2247,1030,7
64,69,88379,111059,44090,14493,11472,12553,2026,1880,7
53,63,171858,17060,6502,4009,1599,1633,649,242,7
35,60,375299,64324,26465,9056,22188,10758,5142,1405,7
41,44,676903,70704,26008,5908,23632,7052,2219,2043,7
38,40,612417,50246,6007,11814,7494,3754,839,571,7
41,35,122542,148143,21973,28341,12204,16702,2207,1653,7
30,23,768760,176092,11111,8892,2663,6748,3429,1378,7
40,20,389457,91435,4684,20399,12578,17154,5359,4089,7
43,17,214212,125693,51329,20041,70275,18080,7728,2557,7
27,14,219393,117514,10995,10905,10936,5468,1767,675,7
38,35,457166,202324,34936,72052,40067,19466,5216,2080,7
38,30,176109,183163,47187,26958,20000,30496,6533,4068,7
30,37,266236,74750,26210,28499,9592,6310,1696,2207,7
44,50,45606,20186,3161,19037,8262,5601,2889,893,7
50,53,88754,23977,23386,2192,8448,5383,1202,1676,7
48,53,153606,36336,13057,4130,10205,5042,3703,1310,7
63,56,88335,7926,14809,10491,14983,7601,4770,1652,7
54,48,16132,7816,3360,5367,10796,3066,3035,1784,7
53,57,20591,8401,14396,3945,5404,2078,751,1622,7
47,51,14843,16818,5902,4106,5849,3035,2543,906,7
60,54,27655,11744,8200,7110,11717,3599,1650,1778,7
64,54,11408,12816,6663,4221,8917,6493,3211,855,7
67,44,20203,16717,3675,3977,2700,2222,1302,714,7
74,43,417349,17154,6249,8099,18357,5675,2698,1462,7
57,37,728753,391341,98628,8383,40638,16177,5021,2299,7
47,24,4875,45553,4008,1895,7149,4544,3086,1625,7
54,34,56249,28461,9273,9551,6595,10806,1972,3866,7
63,24,133025,458003,44550,12064,11895,35835,2119,3881,7
66,37,34702,11641,3865,3411,3347,2138,1394,803,7
63,37,29552,8385,9293,2713,5483,2980,745,1147,7
51,30,202145,53414,11355,4121,8400,4619,2414,812,7
51,51,17839,17888,8736,12019,4037,2585,2210,2730,7
50,48,259775,153844,6910,50075,13464,19016,1668,1538,7
40,35,2808650,203117,18826,16810,12937,13582,3843,1290,7
37,43,8502,27774,9029,11376,2584,2369,1233,1213,7
51,40,17820,10446,6305,7781,3347,6819,2281,917,7
60,51,98561,17031,22025,25130,8159,13698,1583,967,7
54,63,28379,56913,32513,3300,7573,3169,1858,1287,7
57,66,65900,20605,27438,10017,20428,3891,2403,2504,7
51,53,26204,24857,1670,3350,6053,5628,1093,1841,7
40,48,18772,23487,15945,12229,11153,3418,1698,952,7
44,53,23036,15659,13169,5613,7581,1800,1469,1636,7
41,47,13371,35642,10278,9789,5598,2692,3018,957,7
41,66,58528,3367,6118,9181,6299,3603,2163,2019,7
41,64,104011,28228,15946,8911,10779,3579,2031,2262,7
40,56,20129,46714,14158,2451,6001,2892,2516,1470,7
63,54,10072,5532,896,5406,4032,4896,1391,3009,7
50,37,516857,113222,18336,15638,15871,9159,2045,959,7
63,35,36038,19753,4913,1901,5521,3773,1339,1618,7
54,37,10783,14575,10669,2426,4418,5461,2065,1812,7
64,40,11609,10779,3261,13172,16107,4601,3059,2465,7
57,54,31584,24067,28903,17476,9430,2402,2483,1286,7
56,61,61963,74761,28944,28977,29635,16891,4556,1528,7
47,51,91442,69659,6418,8784,7258,6207,3297,2978,7
